country,variety,title,points,price,iso_alpha,price_grade,points_grade,title_grade
Argentina,Barbera,1,85.0,18.0,ARG,Cheap,Not good,Not so much
Argentina,Bonarda,98,86.5047619047619,16.62857142857143,ARG,Very cheap,Not so good,Very Numerous
Argentina,Bordeaux-style Red Blend,79,89.84883720930233,41.54651162790697,ARG,Very Expensive,Very Good,Very Numerous
Argentina,Bordeaux-style White Blend,1,83.0,14.0,ARG,Very cheap,Not good,Not so much
Argentina,Cabernet Blend,8,88.25,36.25,ARG,Very Expensive,Good,Numerous
Argentina,Cabernet Franc,56,89.421875,45.109375,ARG,Very Expensive,Very Good,Very Numerous
Argentina,Cabernet Franc-Cabernet Sauvignon,3,88.66666666666667,40.666666666666664,ARG,Very Expensive,Good,Numerous
Argentina,Cabernet Franc-Malbec,3,91.0,58.5,ARG,Very Expensive,Very Good,Numerous
Argentina,Cabernet Sauvignon,505,86.05597014925372,19.488805970149254,ARG,Cheap,Not good,Very Numerous
Argentina,Cabernet Sauvignon-Cabernet Franc,1,84.0,18.0,ARG,Cheap,Not good,Not so much
Argentina,Cabernet Sauvignon-Malbec,11,86.91666666666667,44.583333333333336,ARG,Very Expensive,Not so good,Numerous
Argentina,Cabernet Sauvignon-Merlot,5,87.0,19.0,ARG,Cheap,Not so good,Numerous
Argentina,Cabernet Sauvignon-Shiraz,3,85.33333333333333,10.0,ARG,Very cheap,Not good,Numerous
Argentina,Cabernet Sauvignon-Syrah,2,86.0,15.0,ARG,Very cheap,Not good,Not so much
Argentina,Cabernet-Malbec,1,86.0,11.0,ARG,Very cheap,Not good,Not so much
Argentina,Cabernet-Syrah,1,88.0,16.0,ARG,Very cheap,Good,Not so much
Argentina,Champagne Blend,1,87.0,25.0,ARG,Expensive,Not so good,Not so much
Argentina,Chardonnay,269,84.94035087719298,17.49473684210526,ARG,Cheap,Not good,Very Numerous
Argentina,Chardonnay-Sauvignon,2,84.5,12.5,ARG,Very cheap,Not good,Not so much
Argentina,Chardonnay-Semillon,1,81.0,13.0,ARG,Very cheap,Not good,Not so much
Argentina,Chardonnay-Viognier,6,85.16666666666667,16.666666666666668,ARG,Very cheap,Not good,Numerous
Argentina,Chenin Blanc,2,84.0,15.5,ARG,Very cheap,Not good,Not so much
Argentina,Chenin Blanc-Chardonnay,4,85.8,11.0,ARG,Very cheap,Not good,Numerous
Argentina,Gewürztraminer,1,84.0,25.0,ARG,Expensive,Not good,Not so much
Argentina,Malbec,1390,87.50831669993346,28.001330671989354,ARG,Expensive,Not so good,Very Numerous
Argentina,Malbec Blend,2,90.5,66.5,ARG,Very Expensive,Very Good,Not so much
Argentina,Malbec-Bonarda,4,87.5,20.25,ARG,Cheap,Not so good,Numerous
Argentina,Malbec-Cabernet,3,91.66666666666667,113.33333333333333,ARG,Very Expensive,Very Good,Numerous
Argentina,Malbec-Cabernet Franc,10,88.7,38.8,ARG,Very Expensive,Good,Numerous
Argentina,Malbec-Cabernet Sauvignon,52,88.42857142857143,41.482142857142854,ARG,Very Expensive,Good,Very Numerous
Argentina,Malbec-Merlot,7,86.28571428571429,21.0,ARG,Cheap,Not good,Numerous
Argentina,Malbec-Petit Verdot,1,91.0,49.0,ARG,Very Expensive,Very Good,Not so much
Argentina,Malbec-Syrah,14,85.625,15.0,ARG,Very cheap,Not good,Numerous
Argentina,Malbec-Tannat,3,84.66666666666667,36.666666666666664,ARG,Very Expensive,Not good,Numerous
Argentina,Malbec-Tempranillo,2,86.5,11.0,ARG,Very cheap,Not so good,Not so much
Argentina,Merlot,56,85.03448275862068,17.75862068965517,ARG,Cheap,Not good,Very Numerous
Argentina,Merlot-Cabernet Franc,1,87.0,27.0,ARG,Expensive,Not so good,Not so much
Argentina,Moscatel,1,81.0,11.0,ARG,Very cheap,Not good,Not so much
Argentina,Moscato,10,82.18181818181819,9.636363636363637,ARG,Very cheap,Not good,Numerous
Argentina,Nebbiolo,3,88.75,64.0,ARG,Very Expensive,Good,Numerous
Argentina,Petit Verdot,8,88.5,37.6,ARG,Very Expensive,Good,Numerous
Argentina,Pinot Grigio,26,83.77777777777777,10.88888888888889,ARG,Very cheap,Not good,Very Numerous
Argentina,Pinot Gris,7,84.57142857142857,12.571428571428571,ARG,Very cheap,Not good,Numerous
Argentina,Pinot Noir,95,85.6930693069307,23.08910891089109,ARG,Expensive,Not good,Very Numerous
Argentina,Red Blend,209,88.42290748898678,34.14537444933921,ARG,Very Expensive,Good,Very Numerous
Argentina,Riesling,1,86.0,15.0,ARG,Very cheap,Not good,Not so much
Argentina,Rosado,3,86.66666666666667,12.0,ARG,Very cheap,Not so good,Numerous
Argentina,Rosé,34,84.05555555555556,13.527777777777779,ARG,Very cheap,Not good,Very Numerous
Argentina,Sangiovese,2,81.5,18.0,ARG,Cheap,Not good,Not so much
Argentina,Sauvignon Blanc,70,84.35526315789474,14.907894736842104,ARG,Very cheap,Not good,Very Numerous
Argentina,Shiraz,8,84.375,8.625,ARG,Very cheap,Not good,Numerous
Argentina,Shiraz-Malbec,1,90.0,16.0,ARG,Very cheap,Very Good,Not so much
Argentina,Sparkling Blend,3,85.0,18.333333333333332,ARG,Cheap,Not good,Numerous
Argentina,Syrah,50,85.78571428571429,17.375,ARG,Cheap,Not good,Very Numerous
Argentina,Syrah-Bonarda,1,87.0,13.0,ARG,Very cheap,Not so good,Not so much
Argentina,Syrah-Malbec,1,89.0,14.0,ARG,Very cheap,Very Good,Not so much
Argentina,Syrah-Viognier,2,90.66666666666667,58.333333333333336,ARG,Very Expensive,Very Good,Not so much
Argentina,Sémillon,12,83.58333333333333,17.916666666666668,ARG,Cheap,Not good,Numerous
Argentina,Tannat,4,86.5,22.0,ARG,Cheap,Not so good,Numerous
Argentina,Tempranillo,19,83.55,13.5,ARG,Very cheap,Not good,Very Numerous
Argentina,Tocai,1,85.0,14.0,ARG,Very cheap,Not good,Not so much
Argentina,Torrontés,224,85.52719665271967,13.510460251046025,ARG,Very cheap,Not good,Very Numerous
Argentina,Trebbiano,1,83.0,9.0,ARG,Very cheap,Not good,Not so much
Argentina,Trousseau,1,88.0,60.0,ARG,Very Expensive,Good,Not so much
Argentina,Viognier,20,84.42857142857143,13.380952380952381,ARG,Very cheap,Not good,Very Numerous
Argentina,White Blend,30,84.74193548387096,20.741935483870968,ARG,Cheap,Not good,Very Numerous
Armenia,Kangoun,1,87.0,14.0,ARM,Very cheap,Not so good,Not so much
Armenia,Rosé,1,88.0,15.0,ARM,Very cheap,Good,Not so much
Australia,Bordeaux-style Red Blend,28,89.13793103448276,67.41379310344827,AUS,Very Expensive,Very Good,Very Numerous
Australia,Cabernet Blend,3,88.66666666666667,37.333333333333336,AUS,Very Expensive,Good,Numerous
Australia,Cabernet Merlot,5,86.8,23.4,AUS,Expensive,Not so good,Numerous
Australia,Cabernet Sauvignon,253,89.2566037735849,35.928301886792454,AUS,Very Expensive,Very Good,Very Numerous
Australia,Cabernet Sauvignon-Merlot,10,88.54545454545455,32.54545454545455,AUS,Very Expensive,Good,Numerous
Australia,Cabernet Sauvignon-Merlot-Shiraz,1,91.0,20.0,AUS,Cheap,Very Good,Not so much
Australia,Cabernet Sauvignon-Sangiovese,1,88.0,30.0,AUS,Expensive,Good,Not so much
Australia,Cabernet Sauvignon-Shiraz,10,89.9090909090909,43.45454545454545,AUS,Very Expensive,Very Good,Numerous
Australia,Cabernet-Shiraz,1,96.0,150.0,AUS,Very Expensive,Very Good,Not so much
Australia,Champagne Blend,4,87.75,30.5,AUS,Expensive,Not so good,Numerous
Australia,Chardonnay,374,87.33924050632912,25.445569620253163,AUS,Expensive,Not so good,Very Numerous
Australia,Chardonnay-Semillon,2,89.66666666666667,18.333333333333332,AUS,Cheap,Very Good,Not so much
Australia,Chenin Blanc,1,87.0,16.0,AUS,Very cheap,Not so good,Not so much
Australia,Durif,2,86.0,32.5,AUS,Very Expensive,Not good,Not so much
Australia,G-S-M,22,89.56,28.76,AUS,Expensive,Very Good,Very Numerous
Australia,Grenache,72,89.55263157894737,45.19736842105263,AUS,Very Expensive,Very Good,Very Numerous
Australia,Grenache-Shiraz,3,88.0,25.5,AUS,Expensive,Good,Numerous
Australia,Malbec,5,86.8,65.6,AUS,Very Expensive,Not so good,Numerous
Australia,Marsanne,5,89.5,26.666666666666668,AUS,Expensive,Very Good,Numerous
Australia,Marsanne-Roussanne,2,88.0,42.5,AUS,Very Expensive,Good,Not so much
Australia,Mataro,6,90.5,62.166666666666664,AUS,Very Expensive,Very Good,Numerous
Australia,Merlot,19,85.73684210526316,20.68421052631579,AUS,Cheap,Not good,Very Numerous
Australia,Montepulciano,1,91.0,25.0,AUS,Expensive,Very Good,Not so much
Australia,Moscato,10,85.81818181818181,12.363636363636363,AUS,Very cheap,Not good,Numerous
Australia,Mourvèdre,7,91.0,50.285714285714285,AUS,Very Expensive,Very Good,Numerous
