winery,variety,country,title,points,price
1+1=3,Cabernet Sauvignon,Spain,1,82.0,18.0
10 Knots,Chardonnay,US,1,85.0,21.0
10 Knots,Grenache,US,1,81.0,35.0
10 Knots,Rhône-style White Blend,US,1,83.0,21.0
10 Knots,Viognier,US,1,84.0,22.0
100 Percent Wine,Moscato,US,1,86.0,18.0
100 Percent Wine,Red Blend,US,1,89.0,18.0
100 Percent Wine,Sauvignon Blanc,US,1,84.0,18.0
1000 Stories,Zinfandel,US,2,90.5,19.0
1070 Green,Sauvignon Blanc,US,1,88.0,25.0
10Span,Chardonnay,US,1,83.0,13.0
10Span,Pinot Gris,US,1,85.0,13.0
10Span,Pinot Noir,US,2,83.0,11.0
12 Linajes,Tempranillo,Spain,5,91.0,37.6
12 Linajes,Verdejo,Spain,3,88.0,13.333333333333334
12C Wines,Cabernet Sauvignon,US,5,92.6,92.6
13 Celsius,Sauvignon Blanc,New Zealand,1,87.0,15.0
14 Hands,Bordeaux-style Red Blend,US,1,91.0,30.0
14 Hands,Cabernet Franc,US,1,90.0,30.0
14 Hands,Cabernet Franc-Merlot,US,1,91.0,30.0
14 Hands,Cabernet Sauvignon,US,7,87.55555555555556,16.0
14 Hands,Chardonnay,US,4,87.25,18.5
14 Hands,Gewürztraminer,US,1,85.0,22.0
14 Hands,Grenache,US,1,86.0,24.0
14 Hands,Malbec,US,1,87.0,24.0
14 Hands,Merlot,US,4,88.5,25.5
14 Hands,Moscato,US,2,87.5,10.0
14 Hands,Pinot Gris,US,4,85.5,13.0
14 Hands,Red Blend,US,11,87.61538461538461,16.923076923076923
14 Hands,Rhône-style Red Blend,US,1,89.0,30.0
14 Hands,Riesling,US,4,87.4,10.0
14 Hands,Rosé,US,1,88.0,12.0
14 Hands,Sauvignon Blanc,US,4,85.25,16.0
14 Hands,Syrah,US,2,88.0,30.0
14 Hands,Viognier,US,1,88.0,22.0
14 Hands,White Blend,US,3,86.66666666666667,10.0
16X20,Cabernet Sauvignon,US,1,86.0,45.0
16X20,Chardonnay,US,1,85.0,35.0
1752 Signature Wines,Rosé,France,1,88.0,20.0
1789 Wines,Pinot Noir,US,1,91.0,48.0
181,Merlot,US,1,84.0,15.0
18401 Cellars,Bordeaux-style Red Blend,US,2,91.66666666666667,75.0
18401 Cellars,Cabernet Sauvignon,US,2,92.0,75.0
1848 Winery,Cabernet Merlot,Israel,1,89.0,40.0
1848 Winery,Cabernet Sauvignon,Israel,1,91.0,25.0
1848 Winery,Cabernet Sauvignon-Merlot,Israel,1,89.0,25.0
1848 Winery,Chardonnay,Israel,1,88.0,25.0
1848 Winery,Red Blend,Israel,2,90.0,52.5
1850,Rosé,US,1,86.0,20.0
1850,Sangiovese,US,1,91.0,28.0
1850,Viognier,US,1,91.0,24.0
19 Crimes,Red Blend,Australia,1,83.0,14.0
2 Copas,Red Blend,Argentina,1,81.0,8.0
2 Lads,Cabernet Franc,US,1,89.0,75.0
2 Lads,Pinot Grigio,US,1,87.0,17.0
2 Lads,Pinot Noir,US,2,86.66666666666667,34.0
2 Up,Shiraz,Australia,3,87.5,14.75
21 Grams,Bordeaux-style Red Blend,US,2,92.5,125.0
24 Knots,Pinot Noir,US,1,82.0,17.0
240 Days,Riesling,US,1,87.0,28.0
240 Days,Rosé,US,1,86.0,28.0
25 Lagunas,Cabernet Sauvignon,Argentina,1,81.0,10.0
29 & Oak Wines,Bordeaux-style Red Blend,US,1,90.0,45.0
29 & Oak Wines,Cabernet Sauvignon,US,2,90.0,75.0
29 & Oak Wines,Red Blend,US,1,90.0,45.0
29 & Oak Wines,Zinfandel,US,1,84.0,45.0
2Hawk,Cabernet Franc,US,1,88.0,30.0
2Hawk,Pinot Noir,US,1,87.0,30.0
2Hawk,Tempranillo,US,2,87.66666666666667,43.333333333333336
2Hawk,Viognier,US,1,90.0,24.0
2Plank,Cabernet Sauvignon,US,1,91.0,52.0
2Plank,Grenache-Syrah,US,1,91.0,28.0
2Plank,Viognier,US,1,88.0,34.0
2Plank,Viognier-Chardonnay,US,1,84.0,25.0
2Plank,Zinfandel,US,2,88.0,42.0
2nd Chance,Pinot Noir,US,2,88.5,38.5
2nd Chance,Syrah,US,1,91.0,32.0
3 Badge Beverage,Chardonnay,US,1,84.0,30.0
3 Ball,Zinfandel,US,1,88.0,15.0
3 Horse Ranch Vineyards,Bordeaux-style Red Blend,US,2,87.0,30.5
3 Horse Ranch Vineyards,Cabernet Sauvignon,US,2,87.0,23.0
3 Horse Ranch Vineyards,Cabernet Sauvignon-Merlot,US,1,86.0,26.0
3 Horse Ranch Vineyards,Chardonnay,US,2,88.0,18.0
3 Horse Ranch Vineyards,Merlot,US,2,87.5,22.0
3 Horse Ranch Vineyards,Merlot-Cabernet Franc,US,1,88.0,23.0
3 Horse Ranch Vineyards,Pinot Gris,US,3,86.0,16.333333333333332
3 Horse Ranch Vineyards,Rosé,US,3,85.0,15.25
3 Horse Ranch Vineyards,Sangiovese,US,1,86.0,30.0
3 Horse Ranch Vineyards,Syrah,US,3,87.75,25.5
3 Horse Ranch Vineyards,Syrah-Mourvèdre,US,3,86.0,24.333333333333332
3 Horse Ranch Vineyards,White Blend,US,4,84.5,17.75
3 Rings,Cabernet Sauvignon,Australia,1,89.0,20.0
3 Rings,Shiraz,Australia,3,89.33333333333333,20.0
3 Spells,Red Blend,US,1,81.0,26.0
3 Steves Winery,Cabernet Sauvignon,US,1,80.0,26.0
3 Steves Winery,Chardonnay,US,1,84.0,22.0
3 Steves Winery,Merlot,US,1,88.0,40.0
3 Steves Winery,Zinfandel,US,1,84.0,24.0
3 Stones,Sauvignon Blanc,New Zealand,2,88.0,14.333333333333334
3000 BC,Chenin Blanc,South Africa,1,86.0,10.0
31st State,Pinot Noir,US,1,83.0,10.0
32 Winds,Chardonnay,US,2,86.5,44.0
32 Winds,Pinot Noir,US,1,94.0,59.0
337 Wine Cellars,Cabernet Sauvignon,US,2,87.0,15.0
3CV,Red Blend,US,1,84.0,20.0
3Fools,Pinot Noir,US,2,84.0,22.0
3Fools,Red Blend,US,1,82.0,22.0
4 Cellars,Chardonnay,US,1,87.0,25.0
4 Cellars,Red Blend,US,1,87.0,25.0
401K,Cabernet Sauvignon,US,1,86.0,15.0
401K,Chardonnay,US,2,84.0,15.0
428 Wines,Red Blend,US,1,85.0,34.0
42°S,Pinot Noir,Australia,1,87.0,18.0
460 Casina Bric,Nebbiolo,Italy,3,87.66666666666667,56.666666666666664
4R4U,Verdejo,Spain,1,87.0,6.0
50 Harvests,Cabernet Sauvignon,US,1,91.0,50.0
50 Harvests,Meritage,US,1,88.0,50.0
5OS Project,Malbec,Australia,1,87.0,25.0
5OS Project,Montepulciano,Australia,1,91.0,25.0
5OS Project,Shiraz-Viognier,Australia,1,90.0,25.0
5OS Project,White Blend,Australia,1,88.0,25.0
6 North,Cabernet Sauvignon,US,3,88.75,56.25
6 North,Zinfandel,US,1,85.0,29.0
6 Under,Cabernet Sauvignon,US,1,88.0,28.0
6 Under,Chardonnay,US,1,87.0,24.0
6 Under,Pinot Gris,US,1,88.0,16.0
6 Under,Red Blend,US,1,89.0,24.0
60 North,Merlot,US,1,85.0,10.0
60 Souls,Pinot Noir,US,1,85.0,25.0
6cepas6,Tempranillo,Spain,2,87.0,21.0
7 Heavenly Chards,Chardonnay,US,1,82.0,17.0
7 Peaks,Pinot Noir,US,1,86.0,11.0
75 Wine Co.,Red Blend,US,1,91.0,20.0
75 Wine Co.,Sauvignon Blanc,US,2,86.0,14.0
786 Wines,Cabernet Sauvignon,US,1,86.0,13.0
786 Wines,Chardonnay,US,1,87.0,13.0
786 Wines,Merlot,US,1,85.0,13.0
8 Chains North,Merlot,US,1,89.0,30.0
8 Chains North,Red Blend,US,1,86.0,32.0
868 Estate,Red Blend,US,1,84.0,27.0
9 Mile Road,Cabernet Sauvignon,Australia,2,89.0,15.0
9 Mile Road,Shiraz,Australia,1,90.0,14.0
:Nota Bene,Bordeaux-style Red Blend,US,16,88.4,32.1
:Nota Bene,Cabernet Franc,US,2,85.0,25.0
:Nota Bene,Cabernet Sauvignon,US,3,88.66666666666667,36.666666666666664
:Nota Bene,Chardonnay,US,1,87.0,30.0
:Nota Bene,Malbec,US,5,87.0,28.333333333333332
:Nota Bene,Merlot,US,4,88.5,33.0
:Nota Bene,Mourvèdre,US,2,86.5,30.0
:Nota Bene,Red Blend,US,1,89.0,30.0
:Nota Bene,Rhône-style Red Blend,US,6,87.5,30.875
:Nota Bene,Syrah,US,14,88.9375,32.9375
A Blooming Hill Vineyard,Pinot Gris,US,1,88.0,17.0
A Blooming Hill Vineyard,Pinot Noir,US,5,86.66666666666667,28.333333333333332
A Blooming Hill Vineyard,White Blend,US,1,87.0,19.0
A By Acacia,Chardonnay,US,1,85.0,11.0
A By Acacia,Pinot Noir,US,1,85.0,15.0
A Cellar Full of Noise,Tempranillo,US,1,84.0,18.0
A Coroa,Godello,Spain,1,89.0,34.0
A Donkey and Goat,Syrah,US,2,90.33333333333333,35.0
A to Z,Chardonnay,US,5,88.6,14.6
A to Z,Pinot Blanc,US,2,87.0,13.0
A to Z,Pinot Gris,US,6,88.85714285714286,13.571428571428571
A to Z,Pinot Noir,US,8,87.125,20.75
A to Z,Red Blend,US,1,88.0,20.0
A to Z,Riesling,US,5,89.4,14.0
A to Z,Rosé,US,2,89.0,14.5
A-Mano,Garganega,Italy,1,86.0,12.0
A-Mano,Pinot Grigio,Italy,2,85.0,11.0
A-Mano,White Blend,Italy,1,84.0,10.0
A. Christmann,Riesling,Germany,5,89.2,42.0
A. D. Coutelas,Champagne Blend,France,2,91.0,66.66666666666667
A. Parparoussis,Red Blend,Greece,1,83.0,37.0
A. Parparoussis,Sideritis,Greece,1,85.0,23.0
A. Parparoussis,White Blend,Greece,2,85.0,25.0
A. de Luze et Fils,Bordeaux-style Red Blend,France,1,86.0,15.0
A. de Luze et Fils,Sauvignon Blanc,France,1,85.0,13.0
A.A. Badenhorst Family Wines,Red Blend,South Africa,4,92.0,30.0
A.A. Badenhorst Family Wines,Rhône-style Red Blend,South Africa,1,92.0,45.0
A.A. Badenhorst Family Wines,Rosé,South Africa,1,85.0,16.0
A.A. Badenhorst Family Wines,White Blend,South Africa,1,90.0,42.0
A.P. Vin,Pinot Noir,US,4,88.0,52.0
A.R. Lenoble ,Chardonnay,France,2,93.0,69.0
A.R. Lenoble ,Pinot Noir,France,1,92.0,65.0
A.S. Kiken,Bordeaux-style Red Blend,US,1,83.0,40.0
A.S. Kiken,Red Blend,US,2,85.5,44.5
A.T. Richardson,Shiraz,Australia,2,89.0,22.0
A2O,Albariño,Spain,1,88.0,22.0
AJB Vineyards,Syrah,US,1,90.0,21.0
AVA Grace Vineyards,Chardonnay,US,2,85.5,10.5
AVA Grace Vineyards,Merlot,US,1,88.0,12.0
AVA Grace Vineyards,Rosé,US,1,86.0,12.0
AZS,Cabernet Sauvignon,US,1,92.0,75.0
Aaldering,Shiraz,South Africa,1,87.0,54.0
Aaron,Petite Sirah,US,2,91.0,38.0
Aaron,Rhône-style Red Blend,US,1,93.0,44.0
Abacela,Albariño,US,7,88.85714285714286,20.0
Abacela,Cabernet Franc,US,2,86.0,21.0
Abacela,Claret,US,1,87.0,32.0
Abacela,Dolcetto,US,5,87.5,21.0
Abacela,Garnacha,US,2,87.5,25.5
Abacela,Graciano,US,1,90.0,30.0
Abacela,Grenache,US,1,88.0,15.0
Abacela,Malbec,US,7,88.57142857142857,26.571428571428573
Abacela,Merlot,US,5,87.2,18.8
Abacela,Muscat,US,1,90.0,18.0
Abacela,Petit Verdot,US,1,85.0,40.0
Abacela,Red Blend,US,1,86.0,11.0
Abacela,Rosé,US,3,88.0,17.0
Abacela,Syrah,US,7,89.5,29.25
Abacela,Tannat,US,3,89.0,30.0
Abacela,Tempranillo,US,14,89.46666666666667,35.8
Abacela,Tinta Amarela,US,1,90.0,30.0
Abacela,Viognier,US,4,88.5,24.5
Abad,Godello,Spain,1,83.0,14.0
Abad,Mencía,Spain,1,86.0,17.0
Abad,Red Blend,Spain,1,85.0,14.0
Abad Dom Bueno,Godello,Spain,8,86.625,21.125
Abad Dom Bueno,Mencía,Spain,5,89.6,25.2
Abadia Retuerta,Cabernet Sauvignon,Spain,2,89.5,117.5
Abadia Retuerta,Cabernet Sauvignon-Tempranillo,Spain,1,81.0,17.0
Abadia Retuerta,Petit Verdot,Spain,1,87.0,199.0
Abadia Retuerta,Red Blend,Spain,2,87.0,23.5
Abadia Retuerta,Syrah,Spain,1,93.0,110.0
Abadia Retuerta,Tempranillo,Spain,3,92.33333333333333,110.0
Abadia Retuerta,Tempranillo Blend,Spain,3,88.0,27.0
Abadia Retuerta,White Blend,Spain,1,87.0,40.0
Abadía da Cova,Mencía,Spain,1,88.0,25.0
Abadía de Acón,Tempranillo,Spain,1,90.0,22.0
Abadía de Tortoreos,Albariño,Spain,3,87.0,18.75
Abadía la Arroyada,Tempranillo,Spain,2,85.0,18.0
Abarbanel,Chardonnay,France,1,81.0,14.0
Abarbanel,Gamay,France,1,82.0,15.0
Abarbanel,Gewürztraminer,France,1,85.0,25.0
Abarbanel,Merlot,France,1,84.0,10.0
Abarbanel,Pinot Blanc,France,1,82.0,23.0
Abarbanel,Syrah,France,1,83.0,11.0
Abbadia Ardenga,Sangiovese,Italy,6,92.16666666666667,47.166666666666664
Abbadia Ardenga,Sangiovese Grosso,Italy,1,91.0,60.0
Abbaye De Tholomies,Red Blend,France,1,87.0,17.0
Abbaye Sylva Plana,Rhône-style Red Blend,France,1,90.0,29.0
Abbaye de Saint-Ferme,Bordeaux-style Red Blend,France,1,87.0,25.0
Abbazia Monte Oliveto,Vernaccia,Italy,2,86.0,14.5
Abbazia Santa Anastasia,Cabernet Sauvignon,Italy,1,92.0,77.0
Abbazia Santa Anastasia,Inzolia,Italy,1,86.0,33.0
Abbazia Santa Anastasia,Red Blend,Italy,3,87.33333333333333,40.333333333333336
Abbazia Santa Anastasia,White Blend,Italy,2,85.5,35.5
Abbazia di Novacella,Gewürztraminer,Italy,2,89.0,23.5
Abbazia di Novacella,Grüner Veltliner,Italy,2,88.5,24.0
Abbazia di Novacella,Kerner,Italy,11,89.9090909090909,24.454545454545453
Abbazia di Novacella,Lagrein,Italy,5,89.33333333333333,30.0
Abbazia di Novacella,Moscato,Italy,1,86.0,43.0
Abbazia di Novacella,Moscato Rosa,Italy,2,90.0,33.5
Abbazia di Novacella,Müller-Thurgau,Italy,4,88.25,20.0
Abbazia di Novacella,Pinot Grigio,Italy,6,89.16666666666667,20.833333333333332
Abbazia di Novacella,Pinot Nero,Italy,4,90.75,32.5
Abbazia di Novacella,Riesling,Italy,4,90.25,27.25
Abbazia di Novacella,Sauvignon,Italy,3,89.25,20.0
Abbazia di Novacella,Schiava,Italy,1,88.0,15.0
Abbazia di Novacella,Sylvaner,Italy,10,88.9090909090909,23.727272727272727
Abbazia di Novacella,Veltliner,Italy,3,90.33333333333333,30.0
Abbey Creek,Pinot Noir,US,1,88.0,30.0
Abbeyville,Fumé Blanc,US,2,83.0,13.5
Abbona Marziano,Nebbiolo,Italy,2,89.5,79.0
Abbot's Passage,Cabernet Sauvignon,US,1,91.0,85.0
Abbot's Passage,Rhône-style Red Blend,US,1,92.0,60.0
Abbotts,Shiraz,France,1,91.0,35.0
Abbotts Delaunay,Carignan,France,1,88.0,22.0
Abeja,Cabernet Sauvignon,US,10,92.4,52.0
Abeja,Chardonnay,US,8,92.5,37.5
Abeja,Merlot,US,5,93.0,40.2
Abeja,Viognier,US,5,91.4,28.8
Abelis Carthago,Tempranillo,Spain,1,92.0,24.0
Abelis Carthago,Tinta de Toro,Spain,3,90.33333333333333,40.333333333333336
Aberrant Cellars,Pinot Noir,US,9,91.36363636363636,43.09090909090909
Abiouness,Pinot Noir,US,1,92.0,35.0
